Kód;Územná jednotka;bez ukončeného vzdelania – osoby vo veku 0-14 rokov (abs.);základné vzdelanie (abs.);stredné odborné (učňovské) vzdelanie (bez maturity) (abs.);úplné stredné vzdelanie (s maturitou) (abs.);vyššie odborné vzdelanie (abs.);vysokoškolské vzdelanie (abs.);bez školského vzdelania – osoby vo veku 15 rokov a viac (abs.);nezistené (abs.)
SK0235504025;Sala;1910;3000;4167;5770;1261;3895;29;1151
SK0235504068;Tesedikovo;378;743;1019;855;210;381;14;119
SK0235504092;Trnovec nad Vahom;352;539;704;579;147;262;5;196
SK0235504165;Vlcany;294;755;786;705;172;337;9;162
SK0235504190;Ziharec;202;452;475;355;81;151;5;73
SK0235555878;Horna Kralova;186;413;545;380;67;204;11;60
SK0236504998;Topolcany;2142;3511;5390;6708;1490;4498;48;1462
SK0236505021;Lipovnik (Okres Topolcany);18;56;100;86;22;24;1;8
SK0236505048;Ludanice;185;265;467;485;115;226;2;49
SK0236505064;Luzany;20;39;80;52;8;26;0;0
SK0236505137;Male Ripnany;52;96;164;137;23;58;2;13
SK0236505226;Nemecky;17;61;99;87;12;27;0;6
SK0236505234;Nitrianska Blatnica;124;212;344;338;58;120;2;34
SK0236505242;Nitrianska Streda;63;146;184;221;28;90;0;11
SK0236505251;Norovce;22;63;98;73;15;43;0;21
SK0236505285;Oponice;81;145;241;169;49;89;5;41
SK0236505340;Podhradie (Okres Topolcany);27;42;100;58;17;23;2;14
SK0236505374;Prasice;178;322;543;545;129;272;5;41
SK0236505404;Preselany;136;201;406;383;76;232;2;43
SK0236505421;Radosina;141;292;488;489;119;280;4;76
SK0236505439;Rajcany;61;104;133;129;31;59;2;16
SK0236505498;Solcany;245;408;624;729;151;333;2;61
SK0236505510;Sulovce;54;98;149;136;25;64;0;13
SK0236505536;Salgovce;57;91;130;147;22;60;1;8
SK0236505561;Tesare;65;100;181;193;52;121;4;14
SK0236505617;Tvrdomestice;36;85;177;98;23;33;1;3
SK0236505641;Urmince;131;221;357;401;66;181;2;43
SK0236505676;Velke Dvorany;86;119;224;180;25;90;3;21
SK0236505714;Velke Ripnany;227;341;662;506;126;190;4;48
SK0236505749;Velusovce;46;75;157;136;22;81;0;7
SK0236505757;Vozokany (Okres Topolcany);44;67;109;79;11;38;0;3
SK0236505773;Zavada (Okres Topolcany);62;101;222;117;25;58;2;9
SK0236542661;Belince;38;58;77;104;22;53;0;12
SK0236542695;Biskupova;28;43;73;53;9;27;0;11
SK0236542709;Blesovce;29;62;115;89;15;24;1;11
SK0236542717;Bojna;205;334;561;540;98;225;3;62
SK0236542792;Cermany;20;49;113;97;20;55;1;9
SK0236542881;Hajna Nova Ves;26;83;95;79;24;21;1;11
SK0236542938;Horne Obdokovce;130;262;478;342;72;141;23;42
SK0236542954;Horne Stitare;81;94;181;123;28;75;11;14
SK0236542971;Hrusovany;103;207;306;231;58;165;2;20
SK0236543039;Kamanova;65;90;184;148;26;86;1;7
SK0236543063;Koniarovce;68;100;164;175;38;84;1;17
SK0236543071;Kovarce;148;351;457;339;73;155;4;52
SK0236543101;Krnca;124;309;383;333;62;129;2;24
SK0236543110;Krtovce;16;65;90;71;11;32;1;4
SK0236556149;Krusovce;154;333;412;440;71;248;0;87
SK0236556157;Jacovce;148;233;464;456;99;347;6;52
SK0236556165;Chrabrany;71;147;196;246;53;121;0;16
SK0236556211;Oresany;37;60;103;92;8;31;0;4
SK0236556220;Ardanovce;19;36;77;50;2;16;0;4
SK0236556238;Svrbice;18;29;62;42;7;19;0;9
SK0236556262;Dvorany nad Nitrou;70;127;219;211;47;99;1;25
SK0236556297;Celadince;40;95;100;137;32;58;0;10
SK0236556327;Solcianky;20;46;82;72;13;22;1;5
SK0236556351;Horne Chlebany;46;59;117;83;11;40;1;2
SK0236580457;Tovarniky;172;180;318;380;85;306;1;46
SK0236581305;Nemcice;69;145;229;268;64;175;1;24
SK0236581658;Praznovce;104;218;222;220;52;130;1;27
SK0236581704;Kuzmice (Okres Topolcany);85;132;184;180;51;93;3;25
SK0237500062;Beladice;223;300;407;366;74;227;5;64
SK0237500127;Caradice;66;73;102;125;20;90;1;35
SK0237500151;Cierne Klacany;121;190;283;339;66;154;3;12
SK0237500283;Hostie;121;220;300;305;72;169;3;19
SK0237500305;Hostovce (Okres Zlate Moravce);74;110;186;206;43;104;0;27
SK0237500321;Choca;54;95;145;110;38;48;2;9
SK0237500364;Jedlove Kostolany;65;182;242;242;42;101;1;12
SK0237500429;Kostolany pod Tribecom;26;49;107;95;20;41;0;6
SK0237500437;Ladice;66;123;245;190;40;60;3;31
SK0237500461;Lovce;61;120;199;190;32;89;2;6
SK0237500500;Machulince;108;187;258;309;67;150;5;17
SK0237500542;Mankovce;66;67;140;127;34;85;0;9
SK0237500551;Martin nad Zitavou;57;67;134;167;27;78;0;5
SK0237500585;Nemcinany;64;132;164;171;29;57;1;36
SK0237500593;Neverice;89;109;175;163;46;91;1;18
SK0237500607;Nevidzany (Okres Zlate Moravce);56;84;157;174;23;71;1;17
SK0237500658;Obyce;149;240;429;380;55;221;3;33
SK0237500721;Skycov;89;181;252;255;48;101;6;16
SK0237500747;Slazany;173;291;442;471;76;198;3;58
SK0237500755;Slepcany;87;100;196;201;43;157;0;29
SK0237500810;Tesarske Mlynany;177;259;442;458;82;203;0;140
SK0237500828;Topolcianky;231;364;578;761;158;541;8;63
SK0237500836;Velcice;95;118;220;226;47;137;3;5
SK0237500909;Vieska nad Zitavou;56;48;110;152;25;67;2;3
SK0237500925;Volkovce;108;193;256;237;32;135;37;15
SK0237500968;Zlate Moravce;1163;1721;2224;3290;671;2169;19;689
SK0237500976;Zlatno (Okres Zlate Moravce);21;38;61;50;15;24;1;1
SK0237500984;Zikava;71;95;150;114;14;67;1;16
SK0237517305;Tekovske Nemce;113;179;279;272;45;127;1;45
SK0237555916;Cerveny Hradok;37;68;108;126;15;58;1;6
SK0237555924;Male Vozokany;44;45;100;71;20;48;0;5
SK0237555932;Velke Vozokany;45;66;99;134;17;74;1;12
SK0237582816;Zitavany;139;328;463;495;120;221;7;88
SK0311517461;Bytca;1265;1678;2698;2911;614;1826;19;403
SK0311517623;Hvozdnica;132;215;365;282;44;136;3;22
SK0311517631;Jablonove (Okres Bytca);100;145;235;266;45;99;2;18
SK0311517674;Kolarovice;188;317;559;461;100;175;5;19
SK0311517691;Kotesova;262;334;485;588;118;318;1;45
SK0311517798;Marsova-Rasov;174;140;214;258;48;149;1;38
SK0311517861;Petrovice;163;268;443;436;65;193;3;43
SK0311517895;Predmier;138;174;279;397;73;256;1;39
SK0311517992;Sulov-Hradna;89;157;227;273;61;147;0;23
SK0311518018;Stiavnik;475;637;1184;1006;183;432;14;83
SK0311518085;Velke Rovne;392;613;960;992;198;438;7;97
SK0311581984;Hlboke nad Vahom;109;204;315;203;45;83;7;9
SK0312509132;Cadca;2416;3234;5211;6073;1351;3853;63;1127
SK0312509159;Cierne;496;714;1198;1155;249;529;10;68
SK0312509167;Dlha nad Kysucou;69;122;219;123;25;47;0;14
SK0312509183;Dunajov;125;199;282;300;68;142;2;18
SK0312509213;Klokocov (Okres Cadca);186;596;692;459;81;188;14;71
SK0312509221;Klubina;68;106;153;132;15;54;0;9
SK0312509230;Korna;153;435;636;454;85;181;2;35
SK0312509248;Krasno nad Kysucou;660;1068;1652;1862;337;971;9;117
SK0312509299;Makov;137;313;453;502;73;206;6;20
SK0312509311;Nova Bystrica;257;635;800;557;98;253;6;74
SK0312509337;Olesna;155;386;583;468;92;196;4;45
SK0312509345;Oscadnica;681;1035;1396;1377;283;741;101;122
SK0312509361;Podvysoka;137;242;340;335;63;191;0;39
SK0312509396;Radostka;68;169;265;186;37;57;3;13
SK0312509400;Rakova;644;962;1445;1431;282;770;17;79
SK0312509451;Skalite;610;956;1297;1497;243;581;16;47
SK0312509477;Stara Bystrica;317;460;758;659;140;356;3;47
SK0312509485;Staskov;288;464;705;720;152;336;6;93
SK0312509493;Svrcinovec;332;649;1005;841;149;332;10;52
SK0312509507;Turzovka;715;1232;1833;1816;356;887;27;367
SK0312509515;Vysoka nad Kysucou;262;499;650;649;114;263;9;132
SK0312509523;Zakopcie;177;299;490;424;86;181;6;47
SK0312509531;Zborov nad Bystricou;213;409;618;574;110;234;4;25
SK0313509540;Dolny Kubin;1910;2337;2980;5035;1055;4252;27;499
SK0313509639;Dlha nad Oravou;165;227;329;405;85;205;2;15
SK0313509671;Horna Lehota (Okres Dolny Kubin);78;80;130;140;40;85;0;4
SK0313509698;Chlebnice;213;308;431;416;65;165;1;5
SK0313509701;Istebne;124;217;332;369;70;176;5;66
SK0313509710;Jasenova;48;51;69;129;21;96;1;10
SK0313509744;Kralovany;56;55;118;118;15;66;1;1
SK0313509761;Kriva;99;120;165;248;49;120;0;7
SK0313509787;Lestiny;42;36;62;77;20;53;2;4
SK0313509825;Malatina;105;182;239;199;25;67;4;13
SK0313509833;Medzibrodie nad Oravou;83;100;125;150;40;66;1;7
SK0313509922;Oravska Poruba;121;141;205;327;61;210;2;12
SK0313509957;Oravsky Podzamok;153;194;268;388;55;277;3;15
SK0313509965;Osadka;28;25;33;29;11;37;0;6
SK0313509973;Parnica;111;167;212;258;52;130;2;4
SK0313509990;Pokryvac;23;35;39;41;7;26;0;6
SK0313510009;Pribis;55;102;135;104;18;60;1;3
SK0313510017;Pucov;140;169;233;200;41;101;2;14
SK0313510041;Sedliacka Dubova;70;67;116;166;21;90;0;12
SK0313510165;Velicna;207;222;217;378;68;317;2;20
SK0313510181;Vysny Kubin;105;103;108;199;30;239;2;10
SK0313510211;Zazriva;255;550;628;620;115;297;11;76
SK0313510254;Zaskov;170;304;422;394;89;201;3;39
SK0313580813;Bziny;78;78;100;145;42;126;1;8
SK0314509175;Dolny Vadicov;58;67;88;168;31;91;0;10
SK0314509205;Horny Vadicov;164;296;434;448;79;221;5;32
SK0314509256;Kysucke Nove Mesto;1479;2068;3038;4137;869;2593;33;443
SK0314509264;Kysucky Lieskovec;235;428;552;620;121;349;8;65
SK0314509272;Lodno;102;215;301;205;50;84;2;12
SK0314509281;Lopusne Pazite;42;68;122;140;19;42;2;6
SK0314509302;Neslusa;332;613;723;812;169;351;8;157
SK0314509329;Ochodnica;193;294;506;498;113;245;3;70
SK0314509370;Povina;117;207;273;304;63;136;2;36
SK0314509426;Rudina;219;310;424;447;94;270;4;46
SK0314509434;Rudinka;51;54;82;109;32;59;3;7
SK0314509442;Rudinska;131;188;316;224;51;67;1;37
SK0314509469;Sneznica;148;187;295;266;39;132;0;18
SK0314580791;Radola;163;226;310;476;68;249;1;28
SK0315507393;Konska (Okres Liptovsky Mikulas);25;26;60;58;11;37;0;6
SK0315510262;Liptovsky Mikulas;2953;4055;5431;7998;1802;6938;51;1294
SK0315510271;Benadikova;65;87;168;125;25;54;1;8
SK0315510319;Bobrovcek;12;30;46;42;11;25;0;4
SK0315510327;Bobrovec;207;296;436;538;89;369;4;45
SK0315510335;Bobrovnik;7;25;45;25;8;20;0;2
SK0315510351;Bukovina;15;19;30;30;5;10;1;2
SK0315510386;Demanovska Dolina;30;34;45;85;21;86;1;15
SK0315510408;Dubrava (Okres Liptovsky Mikulas);95;201;325;362;58;167;1;19
SK0315510416;Galovany;44;41;85;81;21;37;1;1
SK0315510424;Gotovany;57;84;146;100;22;55;1;6
SK0315510459;Huty;10;39;57;34;5;7;0;3
SK0315510467;Hybe;147;226;361;415;88;208;0;35
SK0315510505;Jakubovany (Okres Liptovsky Mikulas);21;63;110;93;18;53;1;11
SK0315510513;Jalovec (Okres Liptovsky Mikulas);23;38;72;96;19;60;1;2
SK0315510521;Jamnik (Okres Liptovsky Mikulas);44;76;121;113;28;82;0;13
SK0315510564;Kralova Lehota;75;110;145;149;37;74;1;7
SK0315510572;Kvacany (Okres Liptovsky Mikulas);56;87;150;161;30;68;1;5
SK0315510581;Lazisko;28;48;120;92;28;53;0;3
SK0315510602;Liptovska Anna;5;15;26;31;6;9;0;3
SK0315510611;Liptovska Kokava;79;145;243;255;64;132;0;16
SK0315510653;Liptovska Sielnica;50;84;136;182;26;119;1;7
SK0315510688;Liptovske Beharovce;8;11;24;16;4;16;0;1
SK0315510696;Liptovske Klacany;51;63;95;88;18;57;0;6
SK0315510700;Liptovske Matiasovce;39;48;77;82;11;53;1;3
SK0315510726;Liptovsky Hradok;579;932;1434;2026;455;1454;32;242
SK0315510734;Liptovsky Jan;152;157;182;280;70;227;2;29
SK0315510751;Liptovsky Ondrej;64;81;187;148;27;108;1;11
SK0315510777;Liptovsky Trnovec;50;75;117;175;35;112;0;19
SK0315510793;Lubela;147;172;323;273;88;199;2;12
SK0315510831;Malatiny;33;37;60;53;12;33;0;16
SK0315510840;Male Borove;6;48;41;17;5;6;0;1
SK0315510858;Maluzina;18;37;70;64;14;14;2;2
SK0315510874;Nizna Boca;10;29;28;54;6;35;0;1
SK0315510904;Partizanska Lupca;162;233;357;288;61;180;1;36
SK0315510912;Pavcina Lehota;53;35;74;102;21;93;0;15
SK0315510921;Pavlova Ves;26;82;59;52;20;38;0;7
SK0315510947;Podturen;145;123;230;295;67;208;1;25
SK0315510963;Pribylina;183;321;249;289;61;181;6;37
SK0315510971;Prosiek;36;35;52;51;11;36;0;5
SK0315511013;Smrecany;69;80;134;178;40;168;11;16
SK0315511048;Svaty Kriz;98;122;258;227;50;115;1;16
SK0315511072;Trstene;17;27;53;73;13;36;0;1
SK0315511099;Uhorska Ves;79;67;131;134;41;72;1;12
SK0315511111;Vavrisovo;73;103;158;175;44;106;2;10
SK0315511129;Vazec;307;604;500;564;81;205;7;114
SK0315511137;Velke Borove;1;8;17;9;1;3;0;1
SK0315511145;Veterna Poruba;48;44;104;110;23;46;0;12
SK0315511153;Vlachy;62;79;172;160;37;97;4;8
SK0315511170;Vychodna;267;517;530;537;99;232;2;38
SK0315511188;Vysna Boca;11;13;20;26;10;25;0;1
SK0315511196;Zavazna Poruba;105;165;272;356;72;251;1;26
SK0315511200;Ziar (Okres Liptovsky Mikulas);60;59;89;127;18;118;2;4
SK0315556807;Izipovce;11;10;29;20;7;12;0;0
SK0315558281;Liptovska Porubka;138;387;296;219;51;131;6;20
SK0315580287;Liptovsky Peter;149;145;249;363;80;270;4;43
SK0316512036;Martin;5082;6759;9082;14489;2865;11683;91;2469
SK0316512052;Bela-Dulice;133;183;291;356;58;184;1;29
SK0316512061;Benice;39;57;67;97;20;63;0;8
SK0316512079;Blatnica;124;155;244;260;38;188;2;10
SK0316512133;Bystricka;130;188;308;405;78;327;3;37
SK0316512150;Danova;60;89;152;143;28;74;0;13
SK0316512168;Diakova;59;92;43;151;16;119;2;9
SK0316512206;Dolny Kalnik;47;51;20;73;18;91;0;1
SK0316512214;Drazkovce;124;143;137;285;42;265;1;22
SK0316512257;Folkusova;20;22;45;31;12;15;0;5
SK0316512290;Horny Kalnik;22;24;42;53;13;30;0;2
SK0316512346;Karlova;9;24;28;25;4;20;0;1
SK0316512354;Klastor pod Znievom;221;265;387;460;82;301;5;36
SK0316512371;Kostany nad Turcom;151;173;243;386;66;277;0;40
SK0316512389;Krpelany;98;160;321;306;47;125;1;29
SK0316512397;Laskar;12;32;24;28;4;16;0;4
SK0316512419;Leziachov;8;22;59;47;5;12;0;2
SK0316512435;Lipovec (Okres Martin);93;108;181;243;52;184;16;22
SK0316512478;Necpaly;100;133;195;276;45;216;3;30
SK0316512486;Nolcovo;39;39;72;64;12;26;0;3
SK0316512508;Podhradie (Okres Martin);69;102;191;192;33;81;1;13
SK0316512524;Pribovce;115;150;289;285;77;150;2;34
SK0316512541;Rakovo;44;57;86;113;11;65;0;5
SK0316512567;Ratkovo;22;19;52;56;7;36;0;2
SK0316512583;Sklabina;60;82;146;180;34;114;0;29
SK0316512591;Sklabinsky Podzamok;16;24;53;42;15;28;1;2
SK0316512613;Slovany;52;79;131;104;22;45;1;7
SK0316512630;Socovce;24;48;64;61;10;25;0;7
SK0316512648;Sucany;486;817;1080;1287;256;644;26;115
SK0316512656;Sutovo;56;84;164;123;20;57;1;4
SK0316512664;Trebostovo;77;89;142;143;31;104;1;13
SK0316512672;Trnovo;35;42;81;68;14;26;1;13
SK0316512681;Turany;390;662;913;1196;235;635;10;152
SK0316512702;Turcianska Stiavnicka;133;141;208;262;46;142;2;20
SK0316512711;Turcianske Klacany;117;149;215;294;54;170;0;25
SK0316512737;Turciansky Dur;15;28;56;38;8;17;0;9
SK0316512753;Turciansky Peter;74;100;66;138;21;107;2;28
SK0316512761;Valca;210;279;393;475;90;271;7;35
SK0316512796;Vricko;22;59;131;123;27;65;0;13
SK0316512818;Zaborie;22;27;47;33;7;33;0;1
SK0316512834;Zabokreky;100;182;279;316;75;214;0;40
SK0316545961;Turcianske Jaseno;54;59;129;104;15;53;1;4
SK0316557358;Vrutky;780;1141;1471;2155;375;1370;5;214
SK0317509558;Babin;199;338;375;313;63;127;1;28
SK0317509566;Benadovo;216;212;194;183;34;95;3;1
SK0317509582;Bobrov;326;301;449;417;102;270;6;42
SK0317509591;Breza;233;380;389;385;57;152;7;24
SK0317509680;Hrustin;393;592;786;805;154;409;13;25
SK0317509728;Klin;413;491;576;599;91;275;7;23
SK0317509779;Krusetnica;124;209;214;283;30;105;2;6
SK0317509809;Lokca;311;453;603;600;96;291;7;28
SK0317509817;Lomna;150;246;245;190;36;64;4;8
SK0317509850;Mutne;552;718;768;622;79;304;2;27
SK0317509868;Namestovo;932;1071;1283;2095;407;1731;11;192
SK0317509884;Novot;647;825;884;819;140;359;8;31
SK0317509892;Oravska Jasenica;265;367;432;447;88;301;2;20
SK0317509906;Oravska Lesna;502;813;688;871;118;408;5;40
SK0317509914;Oravska Polhora;635;912;952;854;121;442;8;50
SK0317509931;Oravske Vesele;411;644;738;679;124;380;2;18
SK0317510025;Rabca;906;1150;1213;1086;199;510;8;67
SK0317510033;Rabcice;274;479;488;488;54;214;3;24
SK0317510050;Sihelne;373;561;556;404;61;178;11;38
SK0317510092;Tapesovo;127;127;189;192;37;97;1;6
SK0317510149;Vasilov;124;156;200;193;39;111;3;14
SK0317510157;Vavrecka;264;269;321;375;74;279;1;37
SK0317510203;Zakamenne;906;1169;1334;1211;221;604;41;56
SK0317510246;Zubrohlava;346;428;561;580;89;315;6;29
SK0318507300;Ivachnova;108;95;103;203;43;114;2;12
SK0318507407;Turik;48;35;60;69;14;46;0;7
SK0318510301;Besenova;112;82;126;185;28;90;0;34
SK0318510441;Hubova;130;197;226;266;53;191;6;10
SK0318510530;Kalameny;36;84;109;121;13;85;0;2
SK0318510548;Komjatna;213;334;430;339;74;161;4;21
SK0318510599;Likavka;290;524;625;801;156;501;13;77
SK0318510629;Liptovska Luzna;286;515;727;707;151;341;2;53
SK0318510637;Liptovska Osada;164;245;414;440;89;208;2;55
SK0318510661;Liptovska Stiavnica;180;212;272;308;63;244;0;21
SK0318510670;Liptovska Tepla;105;150;197;324;60;175;1;19
SK0318510718;Liptovske Revuce;130;245;437;426;82;194;5;17
SK0318510742;Liptovsky Michal;30;41;76;87;17;39;0;11
SK0318510785;Liskova;208;332;490;571;102;329;4;25
SK0318510807;Lubochna;118;132;207;303;56;239;1;18
SK0318510815;Lucky (Okres Ruzomberok);153;247;400;466;87;264;2;32
SK0318510823;Ludrova;92;176;266;267;51;141;1;6
SK0318510866;Martincek;48;63;124;116;22;70;0;9
SK0318510955;Potok (Okres Ruzomberok);12;12;28;20;2;23;0;1
SK0318510998;Ruzomberok;2711;4262;5191;7173;1514;5446;53;1057
SK0318511005;Liptovske Sliace;425;687;950;908;197;509;10;32
SK0318511030;Stankovany;99;215;341;288;49;126;2;29
SK0318511056;Stiavnicka;120;157;150;220;35;177;1;9
SK0318511064;Svosov;109;165;207;224;44;98;1;8
SK0318511102;Valaska Dubova;88;128;181;185;57;124;1;18
SK0319512044;Abramova;13;47;31;37;5;28;0;17
SK0319512087;Blazovce;13;27;44;52;6;17;0;3
SK0319512095;Bodorova;32;47;71;58;7;23;0;2
SK0319512109;Borcova;8;18;43;46;7;21;0;3
SK0319512117;Briestie;9;27;59;24;5;9;1;2
SK0319512125;Budis;14;35;58;59;6;20;0;4
SK0319512141;Cremosne;1;14;31;17;4;10;0;2
SK0319512222;Dubove (Okres Turcianske Teplice);64;109;204;187;45;74;2;13
SK0319512265;Haj (Okres Turcianske Teplice);45;70;146;113;22;59;0;7
SK0319512273;Horna Stubna;188;445;445;323;41;111;5;60
SK0319512303;Ivancina;7;15;33;24;4;6;0;1
SK0319512311;Jasenovo;12;14;41;32;13;9;0;2
SK0319512320;Jazernica;34;58;87;95;21;46;1;10
SK0319512338;Kalamenova;8;19;26;18;1;10;0;3
SK0319512427;Liesno;5;15;21;10;4;1;0;0
SK0319512443;Maly Cepcin;52;93;157;146;23;66;0;8
SK0319512451;Moskovec;10;7;16;14;4;19;0;0
SK0319512460;Mosovce;140;158;352;396;84;203;2;22
SK0319512494;Ondrasova;8;11;28;23;4;12;0;6
SK0319512559;Raksa;18;31;62;59;15;30;0;4
SK0319512575;Rudno;17;33;63;59;9;19;0;0
SK0319512605;Sklene;48;171;210;139;38;46;5;29
SK0319512621;Slovenske Pravno;76;162;271;240;29;103;3;7
SK0319512699;Turcek;72;136;154;133;35;59;3;27
SK0319512729;Turcianske Teplice;585;917;1420;1825;338;1064;18;245
SK0319512788;Velky Cepcin;36;26;86;60;8;23;1;4
SK031A509604;Brezovica (Okres Tvrdosin);167;327;316;351;42;150;2;12
SK031A509655;Habovka;177;232;268;395;64;216;8;14
SK031A509663;Hladovka;161;249;222;251;46;105;1;12
SK031A509795;Liesek;437;695;644;668;108;382;5;23
SK031A509876;Nizna (Okres Tvrdosin);432;498;741;1231;181;751;5;97
SK031A509949;Oravsky Biely Potok;107;143;158;204;20;100;2;6
SK031A509981;Podbiel;153;236;291;328;52;212;0;32
SK031A510076;Sucha Hora;220;418;338;287;64;94;3;31
SK031A510084;Stefanov nad Oravou;86;130;184;165;32;91;0;9
SK031A510106;Trstena;860;1031;1328;2057;341;1470;8;118
SK031A510114;Tvrdosin;1004;1389;1733;2537;464;1498;108;219
SK031A510173;Vitanova;173;302;309;299;67;159;4;8
SK031A510190;Zabiedovo;144;209;223;207;37;74;4;2
SK031A510238;Zuberec;238;311;354;574;75;329;2;30
SK031A518719;Cimhova;87;145;154;164;32;86;3;4
SK031B517402;Zilina;8988;9033;12112;21483;4683;22861;141;3355
SK031B517429;Bela (Okres Zilina);389;466;956;905;140;406;6;70
SK031B517470;Cicmany;5;25;36;24;10;17;1;1
SK031B517488;Divina;287;357;790;617;120;250;1;19
SK031B517496;Divinka;131;144;227;272;60;167;2;19
SK031B517500;Dlhe Pole;167;273;576;536;100;262;4;20
SK031B517518;Dolna Tizina;194;236;391;359;79;186;1;10
SK031B517526;Dolny Hricov;192;227;387;473;77;251;3;41
SK031B517542;Fackov;70;116;197;144;49;67;2;8
SK031B517551;Gbelany;187;171;293;358;91;328;1;20
SK031B517577;Horky;110;118;153;259;34;196;0;12
SK031B517593;Horny Hricov;91;106;175;254;49;148;0;12
SK031B517640;Jasenove;79;76;146;168;36;91;1;17
SK031B517658;Kamenna Poruba (Okres Zilina);236;268;516;485;105;230;1;15
SK031B517682;Konska (Okres Zilina);225;202;402;421;101;278;4;17
SK031B517704;Kotrcina Lucka;86;75;142;150;29;84;0;2
SK031B517712;Krasnany;259;245;397;350;84;241;6;32
SK031B517721;Kunerad;141;163;283;269;62;123;0;9
SK031B517739;Lietava;206;212;393;415;98;255;1;21
SK031B517755;Lietavska Svinna-Babkov;194;265;445;435;84;234;5;40
SK031B517763;Lutise;81;151;260;156;32;74;3;4
SK031B517771;Lysica;104;139;285;199;39;96;2;7
SK031B517780;Mala Cierna;33;47;99;90;19;28;2;13
SK031B517801;Mojs;220;162;185;343;78;296;0;27
SK031B517828;Nededza;116;153;287;256;75;168;1;14
SK031B517879;Podhorie (Okres Zilina);160;135;229;226;35;144;2;18
SK031B517917;Rajec;621;763;1389;1640;325;943;11;205
SK031B517925;Rajecka Lesna;115;181;384;330;67;137;2;18
SK031B517933;Rajecke Teplice;293;324;468;815;177;677;4;83
SK031B517941;Rosina;380;395;598;898;207;783;8;60
SK031B517950;Stranavy;229;230;451;547;116;289;1;53
SK031B517968;Stranske;125;115;200;220;55;151;1;22
SK031B517976;Straza;86;95;204;172;24;84;0;8
SK031B517984;Strecno;264;336;733;679;154;413;2;32
SK031B518000;Svedernik;249;192;303;411;66;370;1;22
SK031B518034;Teplicka nad Vahom;580;597;822;1167;292;803;28;90
SK031B518042;Terchova;417;671;1118;1009;209;472;9;104
SK031B518051;Turie;252;296;498;533;121;276;20;54
SK031B518069;Varin;505;529;835;1111;203;650;4;59
SK031B518077;Velka Cierna;49;62;119;77;12;37;1;8
SK031B518093;Visnove (Okres Zilina);355;430;668;757;164;543;4;83
SK031B518131;Zbynov;116;116;234;217;60;127;1;10
SK031B547522;Bitarova;97;131;181;220;42;125;0;12
SK031B547557;Brezany;109;92;149;160;29;113;2;3
SK031B547590;Hricovske Podhradie;33;72;105;90;14;34;2;4
SK031B547611;Ovciarsko;104;123;131;173;35;137;0;6
SK031B547620;Pastina Zavada;29;36;76;65;10;24;0;4
SK031B557935;Lietavska Lucka;198;254;466;484;144;281;4;47
SK031B557960;Porubka (Okres Zilina);62;64;115;146;34;64;0;36
SK031B557986;Durcina;125;186;337;245;59;131;3;10
SK031B557994;Klace;52;48;102;111;28;71;0;7
SK031B558168;Nezbudska Lucka;30;59;139;102;11;33;2;10
SK031B581712;Suja;38;52;90;89;10;44;0;4
SK0321508438;Banska Bystrica;7814;7929;9570;21719;3865;22077;136;2908
SK0321508454;Badin;214;282;291;591;85;505;2;58
SK0321508471;Balaze;19;26;48;74;11;37;0;6
SK0321508519;Cerin;45;59;82;131;20;95;0;18
SK0321508543;Dolna Micina;53;62;80;122;24;81;4;13
SK0321508551;Dolny Harmanec;19;64;58;83;14;21;0;2
SK0321508560;Donovaly;20;17;18;75;13;93;0;13
SK0321508586;Dubravica;60;82;97;95;17;53;1;13
SK0321508594;Harmanec;65;214;221;204;27;56;1;60
SK0321508616;Hiadel;54;86;147;132;15;74;1;3
SK0321508632;Horna Micina;63;72;112;191;24;170;0;9
SK0321508641;Horne Prsany;33;42;90;119;15;91;2;6
SK0321508659;Hrochot;145;311;358;373;53;135;7;70
SK0321508675;Brusno;195;298;410;729;114;358;3;46
SK0321508713;Kordiky;58;56;84;113;18;144;1;3
SK0321508721;Kraliky;66;89;116;187;50;170;1;14
SK0321508748;Lubietova;152;171;264;415;50;162;1;18
SK0321508756;Lucatin;60;81;129;236;33;117;0;15
SK0321508764;Medzibrod;138;189;290;438;54;234;5;34
SK0321508781;Molca;54;112;82;85;17;47;3;12
SK0321508799;Mostenica;15;25;48;89;16;32;0;8
SK0321508802;Motycky;6;13;32;43;2;6;0;3
SK0321508837;Oravce;10;35;33;66;8;20;0;5
SK0321508861;Podkonice;80;99;175;296;49;202;0;13
SK0321508896;Pohronsky Bukovec;13;22;35;31;2;12;0;1
SK0321508918;Poniky;161;243;337;461;55;250;6;16
SK0321508926;Povraznik;15;15;47;36;8;15;0;7
SK0321508942;Priechod;114;120;223;313;39;181;3;16
SK0321508969;Riecka (Okres Banska Bystrica);103;97;149;247;48;175;0;13
SK0321508977;Sebedin-Becov;32;54;92;105;15;53;0;7
SK0321508985;Selce (Okres Banska Bystrica);194;270;428;681;108;415;0;29
SK0321509001;Slovenska Lupca;315;437;566;993;148;695;10;101
SK0321509019;Stare Hory;65;67;73;181;38;114;2;11
SK0321509027;Strelniky;63;139;237;212;30;81;2;6
SK0321509035;Spania Dolina;16;26;31;53;10;81;0;6
SK0321509060;Tajov;66;70;129;189;40;156;1;17
SK0321557269;Turecka;9;26;41;41;8;33;0;1
